Cycle,Location,Z_stack,Channel,Marker,Path,Path_corrected
Cycle1,3,7,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z007_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_7_Cycle1_WGA.tiff
Cycle1,3,8,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z008_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_8_Cycle1_Hoeschst.tiff
Cycle1,3,8,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z008_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_8_Cycle1_Phalloidin.tiff
Cycle1,3,8,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z008_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_8_Cycle1_WGA.tiff
Cycle1,3,9,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z009_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_9_Cycle1_Hoeschst.tiff
Cycle1,3,9,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z009_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_9_Cycle1_Phalloidin.tiff
Cycle1,3,9,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z009_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_9_Cycle1_WGA.tiff
Cycle1,3,10,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z010_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_10_Cycle1_Hoeschst.tiff
Cycle1,3,10,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z010_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_10_Cycle1_Phalloidin.tiff
Cycle1,3,10,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z010_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_10_Cycle1_WGA.tiff
Cycle2,1,1,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z001_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_1_Cycle2_Hoeschst.tiff
Cycle2,1,1,CH2,Cyclin E,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z001_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_1_Cycle2_Cyclin E.tiff
Cycle2,1,1,CH3,EMMPRIN,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z001_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_1_Cycle2_EMMPRIN.tiff
Cycle2,1,1,CH4,Wnt1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z001_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_1_Cycle2_Wnt1.tiff
Cycle2,1,2,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z002_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_2_Cycle2_Hoeschst.tiff
Cycle2,1,2,CH2,Cyclin E,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z002_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_2_Cycle2_Cyclin E.tiff
Cycle2,1,2,CH3,EMMPRIN,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z002_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_2_Cycle2_EMMPRIN.tiff
Cycle2,1,2,CH4,Wnt1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z002_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_2_Cycle2_Wnt1.tiff
Cycle2,1,3,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z003_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_3_Cycle2_Hoeschst.tiff
Cycle2,1,3,CH2,Cyclin E,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z003_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_3_Cycle2_Cyclin E.tiff
Cycle2,1,3,CH3,EMMPRIN,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z003_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_3_Cycle2_EMMPRIN.tiff
Cycle2,1,3,CH4,Wnt1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z003_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_3_Cycle2_Wnt1.tiff
Cycle2,1,4,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z004_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_4_Cycle2_Hoeschst.tiff
Cycle2,1,4,CH2,Cyclin E,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z004_CH2.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_4_Cycle2_Cyclin E.tiff
Cycle2,1,4,CH3,EMMPRIN,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z004_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_4_Cycle2_EMMPRIN.tiff
Cycle2,1,4,CH4,Wnt1,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z004_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_4_Cycle2_Wnt1.tiff
Cycle2,1,5,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle2_40x_1214_Fw1\1_00001_Z005_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_5_Cycle2_Hoeschst.tiff
